Brand,Model,Year,Title,BodyType,Doors,Seats,Kilometres,FuelType,Transmission,DriveType,Cylinders,EngineLiters,Fuel100KM,UsedOrNew,Color,City,State,Price
Ford,Fiesta,2014,2014 Ford Fiesta Sport,Hatchback,5,5,76289.0,Unleaded,Automatic,Front,3.0,1.0,5.4,USED,White,Cabramatta,NSW,12400.0
Mitsubishi,Outlander,2012,2012 Mitsubishi Outlander LS (4X4),SUV,4,7,219681.0,Unleaded,Automatic,AWD,4.0,2.4,7.5,USED,Black,Blacktown,NSW,13999.0
Ford,Fiesta,2013,2013 Ford Fiesta Zetec,Hatchback,5,5,98079.0,Unleaded,Automatic,Front,4.0,1.6,6.1,USED,Blue,Blacktown,NSW,11999.0
Volkswagen,Amarok,2023,2023 Volkswagen Amarok Style TDI600 4Motion,Ute / Tray,4,5,15.0,Diesel,Automatic,AWD,6.0,3.0,8.4,NEW,White,Blacktown,NSW,83887.0
Honda,Jazz,2018,2018 Honda Jazz VTI,Hatchback,5,5,43274.0,Unleaded,Automatic,Front,4.0,1.5,5.8,USED,Silver,Castle Hill,NSW,19900.0
Subaru,Outback,2012,2012 Subaru Outback 2.5I,SUV,4,5,105672.0,Premium,Automatic,AWD,4.0,2.5,8.4,USED,Black,Glebe,NSW,17990.0
Mitsubishi,Mirage,2018,2018 Mitsubishi Mirage ES,Hatchback,5,5,36836.0,Unleaded,Automatic,Front,3.0,1.2,4.7,USED,Black,Camden,NSW,14995.0
Toyota,Camry,2005,2005 Toyota Camry Altise,Sedan,4,5,115821.0,Unleaded,Automatic,Front,4.0,2.4,9.8,USED,Silver,Lansvale,NSW,8499.0
Hyundai,I45,2011,2011 Hyundai I45 Active,Sedan,4,5,189711.0,Unleaded,Automatic,Front,4.0,2.4,7.9,USED,Silver,Croydon,NSW,12990.0
Ford,Territory,2015,2015 Ford Territory TS (rwd),SUV,4,7,173786.0,Diesel,Automatic,Rear,6.0,2.7,8.2,USED,Blue,Blacktown,NSW,16999.0
Nissan,Qashqai,2018,2018 Nissan Qashqai ST,SUV,4,5,114301.0,Unleaded,Automatic,Front,4.0,2.0,6.9,USED,Blue,Pendle Hill,NSW,21950.0
Volkswagen,Golf,2013,2013 Volkswagen Golf GTI,Hatchback,5,5,69197.0,Premium,Manual,Front,4.0,2.0,6.6,USED,Black,Blacktown,NSW,24880.0
Hyundai,Tucson,2015,2015 Hyundai Tucson Active (fwd),SUV,4,5,94377.0,Unleaded,Automatic,Front,4.0,2.0,7.9,USED,Grey,Mcgraths Hill,NSW,23888.0
Ford,Focus,2016,2016 Ford Focus Trend,Hatchback,5,5,94965.0,Unleaded,Automatic,Front,4.0,1.5,6.2,USED,White,Blacktown,NSW,16999.0
Nissan,X-Trail,2019,2019 Nissan X-Trail ST 7 Seat (2WD),SUV,4,7,99294.0,Unleaded,Automatic,Front,4.0,2.5,8.1,USED,Grey,Blacktown,NSW,24490.0
Toyota,Corolla,2021,2021 Toyota Corolla ZR Hybrid,Hatchback,5,5,13694.0,Hybrid,Automatic,Front,4.0,1.8,4.2,USED,Black,Blacktown,NSW,44878.0
Toyota,Yaris,2007,2007 Toyota Yaris YRS,Sedan,4,5,264691.0,Unleaded,Automatic,Front,4.0,1.5,6.7,USED,Silver,Lansvale,NSW,7949.0
Toyota,Corolla,2010,2010 Toyota Corolla Conquest,Hatchback,5,5,238270.0,Unleaded,Manual,Front,4.0,1.8,7.7,USED,Grey,Smithfield,NSW,8800.0
Jeep,Patriot,2015,2015 Jeep Patriot Limited (4X4),SUV,4,5,140964.0,Unleaded,Automatic,4WD,4.0,2.4,9.1,USED,Black,Seven Hills,NSW,13990.0
Volvo,S60,2013,2013 Volvo S60 T4 Teknik,Sedan,4,5,141000.0,Premium,Automatic,Front,4.0,1.6,7.4,USED,Blue,Blacktown,NSW,14999.0
Mitsubishi,Triton,2016,2016 Mitsubishi Triton GLX Plus (4X4),Ute / Tray,4,5,240402.0,Diesel,Automatic,4WD,4.0,2.4,7.6,USED,White,Haberfield,NSW,22750.0
Mercedes-Benz,E250,2010,2010 Mercedes-Benz E250 CGI Elegance,Coupe,2,4,101126.0,Premium,Automatic,Rear,4.0,1.8,7.9,USED,Black,Glebe,NSW,21950.0
Mercedes-Benz,A250,2013,2013 Mercedes-Benz A250 Sport,Hatchback,5,5,117254.0,Premium,Automatic,Front,4.0,2.0,6.6,USED,White,Five Dock,NSW,19999.0
Toyota,86,2012,2012 Toyota 86 GT,Coupe,2,4,178747.0,Premium,Manual,Rear,4.0,2.0,7.8,USED,Silver,Granville,NSW,19900.0
Mazda,CX-5,2022,2022 Mazda CX-5 Maxx Sport (awd),SUV,4,5,10579.0,Unleaded,Automatic,AWD,4.0,2.5,7.5,USED,Black,Five Dock,NSW,37990.0
Toyota,Corolla,2010,2010 Toyota Corolla Ascent,Hatchback,5,5,167101.0,Unleaded,Automatic,Front,4.0,1.8,7.7,USED,Red,Minchinbury,NSW,12990.0
Ford,Falcon,2013,2013 Ford Falcon XR6,Sedan,4,5,163161.0,Unleaded,Automatic,Rear,6.0,4.0,9.9,USED,Blue,Blacktown,NSW,16999.0
Honda,CR-V,2014,2014 Honda CR-V VTI-L (4X4),SUV,4,5,103211.0,Unleaded,Automatic,4WD,4.0,2.4,8.7,USED,White,Blacktown,NSW,23880.0
Toyota,Corolla,2007,2007 Toyota Corolla Ultima,Sedan,4,5,177751.0,Unleaded,Automatic,Front,4.0,1.8,7.4,USED,Silver,Minchinbury,NSW,10990.0
Toyota,HiAce,2016,2016 Toyota HiAce Commuter,People Mover,3,14,119614.0,Unleaded,Automatic,Rear,4.0,2.7,10.9,USED,Silver,Ingleburn,NSW,44900.0
Hyundai,I30,2012,2012 Hyundai I30 Active,Hatchback,5,5,125546.0,Unleaded,Automatic,Front,4.0,1.8,6.9,USED,Black,Blacktown,NSW,15880.0
Mazda,6,2013,2013 Mazda 6 Touring,Sedan,4,5,163000.0,Unleaded,Automatic,Front,4.0,2.5,6.6,USED,Grey,Minchinbury,NSW,16995.0
Hyundai,Santa,2018,2018 Hyundai Santa FE Highlander Crdi (4X4),SUV,4,7,71655.0,Diesel,Automatic,AWD,4.0,2.2,7.8,USED,White,Homebush,NSW,43999.0
BMW,X3,2012,2012 BMW X3 Xdrive 20D,SUV,4,5,109459.0,Diesel,Automatic,4WD,4.0,2.0,5.6,USED,Black,Blacktown,NSW,18888.0
Holden,Cascada,2016,2016 Holden Cascada,Convertible,2,4,65361.0,Premium,Automatic,Front,4.0,1.6,7.5,USED,Silver,Minchinbury,NSW,24995.0
Mercedes-Benz,ML320,2006,2006 Mercedes-Benz ML320 CDI Luxury (4X4),SUV,4,5,212953.0,Diesel,Automatic,4WD,6.0,3.0,9.6,USED,Silver,Five Dock,NSW,9998.0
Mitsubishi,Lancer,2009,2009 Mitsubishi Lancer ES,Sedan,4,5,163012.0,Unleaded,Automatic,Front,4.0,2.0,8.2,USED,Red,Minchinbury,NSW,9990.0
Audi,A5,2014,2014 Audi A5 2.0 Tfsi Quattro,Coupe,2,4,82119.0,Premium,Automatic,AWD,4.0,2.0,6.7,USED,White,Blacktown,NSW,27380.0
Kia,RIO,2018,2018 Kia RIO GT-Line,Hatchback,5,5,42071.0,Unleaded,Automatic,Front,3.0,1.0,5.4,USED,Red,Homebush,NSW,24999.0
Volkswagen,Tiguan,2011,2011 Volkswagen Tiguan 132 TSI (4X4),SUV,4,5,118642.0,Premium,Automatic,AWD,4.0,2.0,8.8,USED,Black,Lidcombe,NSW,12990.0
Mitsubishi,ASX,2012,2012 Mitsubishi ASX (2WD),SUV,4,5,187265.0,Unleaded,Automatic,Front,4.0,2.0,7.9,USED,Blue,Campbelltown,NSW,13990.0
BMW,220I,2016,2016 BMW 220I M-Sport,Convertible,2,4,118120.0,Premium,Automatic,Rear,4.0,2.0,6.4,USED,Grey,Caringbah,NSW,28990.0
Hyundai,Tucson,2022,2022 Hyundai Tucson (FWD),SUV,4,5,19978.0,Unleaded,Automatic,Front,4.0,2.0,8.1,USED,White,Smithfield,NSW,36800.0
Mazda,3,2011,2011 Mazda 3 NEO,Sedan,4,5,86804.0,Unleaded,Automatic,Front,4.0,2.0,8.2,USED,Grey,Lansvale,NSW,13999.0
Volkswagen,Tiguan,2023,2023 Volkswagen Tiguan Allspace 132TSI Life,SUV,4,7,15.0,Premium,Automatic,AWD,4.0,2.0,8.9,NEW,Black,Blacktown,NSW,56887.0
Toyota,Yaris,2014,2014 Toyota Yaris YR,Hatchback,5,5,191748.0,Unleaded,Automatic,Front,4.0,1.3,6.3,USED,Green,Bankstown,NSW,8995.0
Toyota,Kluger,2016,2016 Toyota Kluger Grande (4X2),SUV,4,7,139637.0,Unleaded,Automatic,Front,6.0,3.5,10.4,USED,Grey,Five Dock,NSW,31900.0
Mitsubishi,Lancer,2013,2013 Mitsubishi Lancer LX,Sedan,4,5,165306.0,Unleaded,Automatic,Front,4.0,2.0,7.2,USED,Grey,Minchinbury,NSW,14995.0
Subaru,XV,2016,2016 Subaru XV 2.0I-L,SUV,4,5,104887.0,Unleaded,Automatic,AWD,4.0,2.0,7.1,USED,Grey,North Narrabeen,NSW,22990.0
Mini,Cooper,2017,2017 Mini Cooper S 5D Hatch,Hatchback,5,5,72501.0,Premium,Automatic,Front,4.0,2.0,5.5,USED,Yellow,Blacktown,NSW,31990.0
Holden,Commodore,2010,2010 Holden Commodore SS-V,Ute / Tray,2,2,169220.0,Unleaded,Manual,Rear,8.0,6.0,14.5,USED,Black,Blacktown,NSW,25999.0
Hyundai,I20,2015,2015 Hyundai I20 Active,Hatchback,5,5,111783.0,Unleaded,Automatic,Front,4.0,1.4,5.9,USED,Silver,Croydon,NSW,13990.0
Mazda,BT-50,2018,2018 Mazda BT-50 XTR (4X2),Ute / Tray,4,5,97460.0,Diesel,Automatic,Rear,5.0,3.2,9.3,USED,White,Haberfield,NSW,30990.0
Mazda,3,2009,2009 Mazda 3 Maxx,Sedan,4,5,178389.0,Unleaded,Automatic,Front,4.0,2.0,8.2,USED,Black,Chester Hill,NSW,8499.0
Hyundai,I20,2011,2011 Hyundai I20 Active,Hatchback,5,5,188262.0,Unleaded,Automatic,Front,4.0,1.4,6.4,USED,Blue,Minchinbury,NSW,10995.0
Mazda,CX-7,2010,2010 Mazda CX-7 Luxury Sports (4X4),SUV,4,5,152831.0,Unleaded,Automatic,AWD,4.0,2.3,11.5,USED,Black,Liverpool,NSW,11669.0
Jeep,Renegade,2017,2017 Jeep Renegade Limited,SUV,4,5,69218.0,Premium,Automatic,Front,4.0,1.4,5.9,USED,Grey,Glebe,NSW,24950.0
Mazda,6,2013,2013 Mazda 6 Sport,Sedan,4,5,124093.0,Unleaded,Automatic,Front,4.0,2.5,6.6,USED,White,West Ryde,NSW,16990.0
Kia,Grand,2013,2013 Kia Grand Carnival SLI,Wagon,4,8,98672.0,Unleaded,Automatic,Front,6.0,3.5,10.9,USED,White,Minchinbury,NSW,13995.0
Mitsubishi,Lancer,2015,2015 Mitsubishi Lancer ES Sport,Sedan,4,5,61481.0,Unleaded,Automatic,Front,4.0,2.0,7.2,USED,Grey,Minchinbury,NSW,17995.0
Subaru,Impreza,2018,2018 Subaru Impreza 2.0I (awd),Hatchback,5,5,61177.0,Unleaded,Automatic,AWD,4.0,2.0,6.6,USED,Grey,Seven Hills,NSW,22990.0
Mazda,3,2014,2014 Mazda 3 NEO,Hatchback,5,5,132648.0,Unleaded,Automatic,Front,4.0,2.0,8.2,USED,Red,Granville,NSW,16999.0
BMW,X4,2021,2021 BMW X4 Xdrive20I M Sport,SUV,5,5,31367.0,Unleaded,Automatic,AWD,4.0,2.0,7.3,USED,Grey,Sylvania,NSW,79988.0
Mazda,CX-7,2010,2010 Mazda CX-7 Luxury Sports (4X4),SUV,4,5,174818.0,Unleaded,Automatic,AWD,4.0,2.3,11.5,USED,Red,Kirrawee,NSW,12800.0
Audi,A5,2015,2015 Audi A5 2.0 Tfsi Quattro,Coupe,2,4,115334.0,Premium,Automatic,AWD,4.0,2.0,6.7,USED,Grey,Blacktown,NSW,26880.0
BMW,118I,2014,2014 BMW 118I,Hatchback,5,5,57000.0,Premium,Automatic,Rear,4.0,1.6,5.8,USED,White,Cabramatta,NSW,16990.0
Audi,Q7,2014,2014 Audi Q7 4.2 TDI Quattro,SUV,4,7,199941.0,Diesel,Automatic,AWD,8.0,4.1,9.2,USED,Black,Five Dock,NSW,28999.0
Suzuki,Celerio,2015,2015 Suzuki Celerio,Hatchback,5,4,23316.0,Unleaded,Automatic,Front,3.0,1.0,4.8,USED,Blue,Blacktown,NSW,13880.0
Subaru,Liberty,2016,2016 Subaru Liberty 3.6R,Sedan,4,5,226127.0,Premium,Automatic,AWD,6.0,3.6,9.9,USED,White,Minto,NSW,17950.0
Toyota,C-HR,2019,2019 Toyota C-HR (2WD),SUV,4,5,58185.0,Premium,Manual,Front,4.0,1.2,5.4,USED,Yellow,Blacktown,NSW,33888.0
Subaru,Forester,2021,2021 Subaru Forester 2.5I (awd),SUV,4,5,16136.0,Unleaded,Automatic,AWD,4.0,2.5,7.4,USED,Silver,Windsor,NSW,39990.0
Mazda,CX-3,2015,2015 Mazda CX-3 S Touring (awd),SUV,4,5,31531.0,Unleaded,Automatic,AWD,4.0,2.0,6.7,USED,White,Penrith,NSW,23950.0
Jeep,Grand,2018,2018 Jeep Grand Cherokee Limited (4X4),SUV,4,5,76472.0,Diesel,Automatic,4WD,6.0,3.0,7.5,USED,White,Glebe,NSW,41950.0
Hyundai,I30,2018,2018 Hyundai I30 Active,Hatchback,4,5,62719.0,Unleaded,Automatic,Front,4.0,2.0,7.4,USED,Silver,Homebush,NSW,21999.0
Nissan,X-Trail,2020,2020 Nissan X-Trail ST (2WD),SUV,4,5,52035.0,Unleaded,Automatic,Front,4.0,2.5,7.9,USED,Grey,Windsor,NSW,27990.0
Honda,City,2010,2010 Honda City VTI,Sedan,4,5,146445.0,Unleaded,Automatic,Front,4.0,1.5,6.6,USED,Black,Kogarah,NSW,8950.0
Honda,CR-V,2020,2020 Honda CR-V VTI-L7 (2WD),SUV,4,7,35214.0,Unleaded,Automatic,Front,4.0,1.5,7.3,USED,Grey,Blacktown,NSW,37880.0
Holden,Cruze,2014,2014 Holden Cruze SRI,Hatchback,5,5,163000.0,Unleaded,Manual,Front,4.0,1.6,7.4,USED,Red,South Windsor,NSW,7950.0
Jeep,Grand,2013,2013 Jeep Grand Cherokee Laredo (4X2),SUV,4,5,69001.0,Premium,Automatic,Rear,6.0,3.6,10.1,USED,Grey,Artarmon,NSW,24990.0
Toyota,RAV4,2007,2007 Toyota RAV4 Cruiser L (4X4),SUV,4,5,106718.0,Unleaded,Automatic,4WD,4.0,2.4,9.6,USED,Silver,Lansvale,NSW,14999.0
Holden,Commodore,2016,2016 Holden Commodore Evoke,Sedan,4,5,59689.0,Unleaded,Automatic,Rear,6.0,3.0,8.3,USED,Red,Blacktown,NSW,22999.0
Mazda,6,2013,2013 Mazda 6 Atenza,Sedan,4,5,105767.0,Unleaded,Automatic,Front,4.0,2.5,6.6,USED,White,Homebush,NSW,19999.0
Honda,Civic,2013,2013 Honda Civic VTI-L,Sedan,4,5,154347.0,Unleaded,Automatic,Front,4.0,1.8,6.7,USED,Silver,Minchinbury,NSW,15990.0
Jeep,Compass,2021,2021 Jeep Compass Launch Edition,SUV,4,5,20827.0,Unleaded,Automatic,Front,4.0,2.4,7.9,USED,White,Ryde,NSW,32888.0
Toyota,Yaris,2010,2010 Toyota Yaris YR,Hatchback,5,5,147626.0,Unleaded,Automatic,Front,4.0,1.3,6.5,USED,White,Minchinbury,NSW,10995.0
Jeep,Grand,2014,2014 Jeep Grand Cherokee Overland (4X4),SUV,4,5,114424.0,Diesel,Automatic,4WD,6.0,3.0,7.5,USED,Grey,Castle Hill,NSW,29990.0
Mazda,3,2009,2009 Mazda 3 SP25,Hatchback,5,5,153020.0,Unleaded,Manual,Front,4.0,2.5,8.6,USED,Red,Liverpool,NSW,13950.0
Toyota,86,2013,2013 Toyota 86 GTS,Coupe,2,4,103706.0,Premium,Automatic,Rear,4.0,2.0,7.1,USED,Orange,Croydon,NSW,24990.0
Volkswagen,Golf,2013,2013 Volkswagen Golf 103 TSI Highline,Hatchback,5,5,126532.0,Premium,Automatic,Front,4.0,1.4,5.2,USED,Gold,Cabramatta,NSW,13990.0
Mitsubishi,Lancer,2013,2013 Mitsubishi Lancer LX Sportback,Hatchback,5,5,73421.0,Unleaded,Automatic,Front,4.0,2.0,7.3,USED,Grey,Brookvale,NSW,16990.0
Toyota,Camry,2009,2009 Toyota Camry Ateva,Sedan,4,5,155135.0,Unleaded,Automatic,Front,4.0,2.4,9.9,USED,White,Minchinbury,NSW,10995.0
Hyundai,I20,2013,2013 Hyundai I20 Active,Hatchback,5,5,123330.0,Unleaded,Automatic,Front,4.0,1.4,6.4,USED,Grey,Brookvale,NSW,12990.0
Mitsubishi,Lancer,2014,2014 Mitsubishi Lancer GSR Sportback,Hatchback,5,5,44249.0,Unleaded,Automatic,Front,4.0,2.4,8.9,USED,Silver,Arncliffe,NSW,18990.0
Mazda,2,2018,2018 Mazda 2 Maxx,Hatchback,5,5,27100.0,Unleaded,Automatic,Front,4.0,1.5,4.9,USED,Silver,Darlinghurst,NSW,23999.0
Mazda,3,2009,2009 Mazda 3 Maxx Sport,Hatchback,5,5,70661.0,Unleaded,Automatic,Front,4.0,2.0,8.2,USED,White,Minchinbury,NSW,14995.0
Mitsubishi,Triton,2014,2014 Mitsubishi Triton GLX (4X4),Ute / Tray,4,5,215100.0,Diesel,Automatic,4WD,4.0,2.5,9.3,USED,White,Eastern Creek,NSW,18995.0
Volkswagen,Golf,2014,2014 Volkswagen Golf 90 TSI Comfortline,Hatchback,5,5,155036.0,Premium,Automatic,Front,4.0,1.4,5.4,USED,Black,Castle Hill,NSW,14990.0
BMW,M135I,2012,2012 BMW M135I,Hatchback,5,5,67678.0,Premium,Automatic,Rear,6.0,3.0,7.5,USED,Grey,Rydalmere,NSW,29950.0
Holden,Commodore,2015,2015 Holden Commodore SV6 Storm,Wagon,4,5,133934.0,Unleaded,Automatic,Rear,6.0,3.6,9.8,USED,White,Homebush,NSW,22999.0
Holden,Cruze,2014,2014 Holden Cruze Equipe,Sedan,4,5,117000.0,Unleaded,Automatic,Front,4.0,1.8,7.4,USED,Silver,Windsor,NSW,7888.0
Hyundai,Imax,2018,2018 Hyundai Imax Active,Wagon,4,8,190176.0,Diesel,Automatic,Rear,4.0,2.5,8.8,USED,Grey,Cabramatta,NSW,27990.0
Mitsubishi,Triton,2013,2013 Mitsubishi Triton GLX (4X4),Ute / Tray,4,5,231675.0,Diesel,Manual,4WD,4.0,2.5,9.1,USED,White,Smithfield,NSW,19800.0
BMW,330I,2021,2021 BMW 330I M Sport,Sedan,4,5,23332.0,Premium,Automatic,Rear,4.0,2.0,6.4,USED,Black,Sylvania,NSW,67988.0
Volkswagen,Golf,2018,2018 Volkswagen Golf 110 TSI Comfortline,Wagon,4,5,130647.0,Premium,Automatic,Front,4.0,1.4,5.6,USED,White,Blacktown,NSW,21880.0
Audi,Q3,2019,2019 Audi Q3 35 Tfsi S Tronic,SUV,4,5,47307.0,Premium,Automatic,Front,4.0,1.4,7.2,USED,White,Carlton,NSW,41888.0
Subaru,Outback,2016,2016 Subaru Outback 2.5I Premium,SUV,4,5,74983.0,Premium,Automatic,AWD,4.0,2.5,7.3,USED,Silver,North Narrabeen,NSW,29990.0
Mazda,6,2007,2007 Mazda 6 Classic Sports,Hatchback,5,5,102496.0,Premium,Manual,Front,4.0,2.3,8.8,USED,Black,Leichhardt,NSW,7920.0
Hyundai,Accent,2015,2015 Hyundai Accent Active,Hatchback,5,5,84924.0,Unleaded,Automatic,Front,4.0,1.6,6.4,USED,Silver,Homebush,NSW,14999.0
Land,Rover,2013,2013 Land Rover Discovery 4 3.0 TDV6,SUV,4,5,159558.0,Diesel,Automatic,4WD,6.0,3.0,8.8,USED,White,Glebe,NSW,38950.0
Ford,Focus,2013,2013 Ford Focus Ambiente,Hatchback,5,5,67590.0,Unleaded,Automatic,Front,4.0,1.6,6.6,USED,Silver,Leichhardt,NSW,12990.0
Kia,Sportage,2017,2017 Kia Sportage GT-Line (awd),SUV,4,5,65502.0,Unleaded,Automatic,AWD,4.0,2.4,8.5,USED,White,Ryde,NSW,29990.0
Porsche,Cayenne,2010,2010 Porsche Cayenne S,SUV,4,5,193271.0,Premium,Automatic,AWD,8.0,4.8,10.5,USED,White,Haberfield,NSW,29990.0
Porsche,Cayman,2016,2016 Porsche Cayman GT4,Coupe,2,2,23481.0,Premium,Manual,Rear,6.0,3.8,10.3,USED,White,Blacktown,NSW,214880.0
Ford,Territory,2007,2007 Ford Territory SR (4X4),SUV,4,5,173839.0,Unleaded,Automatic,AWD,6.0,4.0,12.2,USED,White,Penrith,NSW,8950.0
Toyota,RAV4,2013,2013 Toyota RAV4 Cruiser (4X4),SUV,4,5,292134.0,Diesel,Automatic,AWD,4.0,2.2,6.5,USED,Grey,Bankstown,NSW,14995.0
Toyota,Hilux,2008,2008 Toyota Hilux SR5 (4X4),Ute / Tray,4,5,251000.0,Diesel,Automatic,4WD,4.0,3.0,9.5,USED,White,Blacktown,NSW,21290.0
Mazda,3,2014,2014 Mazda 3 Maxx,Hatchback,5,5,130242.0,Unleaded,Automatic,Front,4.0,2.0,5.8,USED,Brown,Liverpool,NSW,16388.0
Hyundai,Venue,2021,2021 Hyundai Venue Elite ((sunroof),SUV,4,5,35024.0,Unleaded,Automatic,Front,4.0,1.6,7.2,USED,White,Castle Hill,NSW,26990.0
BMW,X1,2015,2015 BMW X1 Xdrive 20D,SUV,4,5,44145.0,Diesel,Automatic,AWD,4.0,2.0,5.1,USED,White,Campbelltown,NSW,32000.0
BMW,330I,2021,2021 BMW 330I M Sport,Sedan,4,5,29567.0,Premium,Automatic,Rear,4.0,2.0,6.4,USED,Black,Sylvania,NSW,67988.0
Mazda,6,2007,2007 Mazda 6 Classic Sports,Hatchback,5,5,223898.0,Premium,Automatic,Front,4.0,2.3,8.9,USED,Black,Punchbowl,NSW,7600.0
Hyundai,Veloster,2013,2013 Hyundai Veloster +,Hatchback,3,4,155244.0,Unleaded,Automatic,Front,4.0,1.6,6.4,USED,White,Minchinbury,NSW,17990.0
Toyota,Camry,2017,2017 Toyota Camry Altise,Sedan,4,5,149988.0,Unleaded,Automatic,Front,4.0,2.5,7.9,USED,Grey,Pendle Hill,NSW,19950.0
Mitsubishi,Lancer,2011,2011 Mitsubishi Lancer ES Sportback,Hatchback,5,5,205373.0,Unleaded,Automatic,Front,4.0,2.0,7.3,USED,Red,Minchinbury,NSW,9990.0
BMW,M4,2020,2020 BMW M4 Competition,Coupe,2,4,2858.0,Premium,Automatic,Rear,6.0,3.0,8.8,USED,White,Sylvania,NSW,129988.0
Suzuki,Swift,2011,2011 Suzuki Swift GL,Hatchback,5,5,201011.0,Unleaded,Automatic,Front,4.0,1.4,6.2,USED,Grey,Penrith,NSW,7999.0
Ford,Transit,2008,2008 Ford Transit,Commercial,2,3,305593.0,Diesel,Manual,Rear,4.0,2.4,9.5,USED,White,Minchinbury,NSW,9995.0
Peugeot,308,2017,2017 Peugeot 308 Active,Hatchback,5,5,57217.0,Premium,Automatic,Front,3.0,1.2,5.1,USED,Silver,Homebush,NSW,16990.0
Holden,Trax,2017,2017 Holden Trax LT,SUV,4,5,83147.0,Unleaded,Automatic,Front,4.0,1.4,6.9,USED,Blue,Blacktown,NSW,17888.0
Mitsubishi,Triton,2015,2015 Mitsubishi Triton GLX (4X4),Ute / Tray,4,5,204000.0,Diesel,Automatic,4WD,4.0,2.5,9.3,USED,White,Eastern Creek,NSW,18995.0
Subaru,Forester,2013,2013 Subaru Forester 2.0I,SUV,4,5,122077.0,Unleaded,Manual,AWD,4.0,2.0,7.2,USED,Red,Sylvania,NSW,16857.0
Mazda,CX-3,2015,2015 Mazda CX-3 S Touring (fwd),SUV,4,5,60581.0,Unleaded,Automatic,Front,4.0,2.0,6.1,USED,Blue,Castle Hill,NSW,22990.0
Nissan,Navara,2010,2010 Nissan Navara RX (4X4),Ute / Tray,2,2,259488.0,Diesel,Manual,4WD,4.0,2.5,9.8,USED,White,Campbelltown,NSW,13950.0
Kia,Cerato,2017,2017 Kia Cerato S Premium,Hatchback,5,5,21350.0,Unleaded,Automatic,Front,4.0,2.0,7.1,USED,Red,Blacktown,NSW,22990.0
Audi,RS3,2016,2016 Audi RS3 Sportback Quattro,Hatchback,5,5,47926.0,Premium,Automatic,AWD,5.0,2.5,8.1,USED,White,Castle Hill,NSW,59990.0
Mercedes-Benz,C200,2018,2018 Mercedes-Benz C200,Sedan,4,4,72540.0,Hybrid,Automatic,Rear,4.0,2.0,6.5,USED,Blue,Blacktown,NSW,39990.0
Toyota,Corolla,2020,2020 Toyota Corolla ZR Hybrid,Hatchback,5,5,87043.0,Hybrid,Automatic,Front,4.0,1.8,4.2,USED,Blue,Wollongong,NSW,39990.0
Ford,Ranger,2012,2012 Ford Ranger XLT 3.2 (4X4),Ute / Tray,4,5,254121.0,Diesel,Manual,4WD,5.0,3.2,9.4,USED,White,Cabramatta,NSW,21990.0
Honda,Civic,2008,2008 Honda Civic Type R,Hatchback,3,4,165450.0,Premium,Manual,Front,4.0,2.0,9.3,USED,Silver,Minchinbury,NSW,18990.0
Honda,CR-V,2022,2022 Honda CR-V VTI X (2WD) 5 Seats,SUV,4,5,15087.0,Unleaded,Automatic,Front,4.0,1.5,7.3,USED,White,Banksia,NSW,39990.0
Nissan,Navara,2013,2013 Nissan Navara ST (4X4),Ute / Tray,4,5,159056.0,Diesel,Automatic,4WD,4.0,2.5,10.5,USED,White,Campbelltown,NSW,21990.0
